topic,party,overall_change_pp,party_contribution_pp,early_party_emphasis_pct,late_party_emphasis_pct,early_count,late_count,party_emphasis_change_pp
Macroeconomics,SP,-3.39988185126715,0.2054055349271433,16.104146576663453,11.834654586636468,167,209,-4.269491990026985
Macroeconomics,Grüne,-3.39988185126715,0.277677170107449,,3.715670436187399,0,23,
Macroeconomics,GLP,-3.39988185126715,0.08451044307618012,,18.421052631578945,0,7,
Macroeconomics,Mitte,-3.39988185126715,-0.5065465641482181,14.329501915708812,13.744243712362735,374,388,-0.5852582033460774
Macroeconomics,FDP,-3.39988185126715,-2.824455128825434,15.218230977211277,11.673773987206824,394,219,-3.544456990004454
Macroeconomics,SVP,-3.39988185126715,-0.6364733064042696,21.878224974200204,16.45133505598622,212,191,-5.426889918213984
Health,SP,2.665350626179068,1.3087045756368465,12.632594021215043,14.665911664779163,131,259,2.0333176435641196
Health,Grüne,2.665350626179068,0.7243752263672582,,9.693053311793214,0,60,
Health,GLP,2.665350626179068,0.0,,0.0,0,0,
Health,Mitte,2.665350626179068,1.425046978406061,8.697318007662835,13.425433935529579,227,379,4.728115927866744
Health,FDP,2.665350626179068,-1.667058345383214,11.89648512939359,11.513859275053305,308,216,-0.38262585434028473
Health,SVP,2.665350626179068,0.874282191152116,4.540763673890609,10.594315245478036,44,123,6.053551571587427
Law and Crime,SP,0.6497443029178687,2.5979450230537484,9.546769527483125,18.629671574178936,99,329,9.08290204669581
Law and Crime,Grüne,0.6497443029178687,0.7726669081250754,,10.339256865912763,0,64,
Law and Crime,GLP,0.6497443029178687,0.012072920439454304,,2.631578947368421,0,1,
Law and Crime,Mitte,0.6497443029178687,-0.37610372758330524,9.770114942528735,9.280906836698549,255,262,-0.4892081058301869
Law and Crime,FDP,0.6497443029178687,-2.0878963903811076,11.08536114329857,8.368869936034114,287,157,-2.716491207264456
Law and Crime,SVP,0.6497443029178687,-0.2689404307359965,6.398348813209494,4.220499569336779,62,49,-2.177849243872715
International Affairs,SP,-0.1471421738445251,1.7411547425841394,5.014464802314368,11.551528878822197,52,204,6.5370640765078285
International Affairs,Grüne,-0.1471421738445251,0.3138959314258119,,4.20032310177706,0,26,
