speaker,entry_year,rel_year,n_speeches,share_emotional
Rösti Albert,2023,-2,49,14.285714285714285
Rösti Albert,2023,-1,31,25.806451612903224
Rösti Albert,2023,0,463,1.2958963282937366
Rösti Albert,2023,1,449,0.8908685968819599
Rösti Albert,2023,2,390,2.8205128205128207
Schmid Samuel,2001,-1,18,5.555555555555555
Schmid Samuel,2001,0,48,0.0
Schmid Samuel,2001,1,116,1.7241379310344827
Schmid Samuel,2001,2,77,2.5974025974025974
Schmid Samuel,2001,3,64,1.5625
Schmid Samuel,2001,4,100,3.0
Schmid Samuel,2001,5,102,0.9803921568627451
Schneider-Ammann Johann N.,2010,-3,4,25.0
Schneider-Ammann Johann N.,2010,-2,10,40.0
Schneider-Ammann Johann N.,2010,-1,20,0.0
Schneider-Ammann Johann N.,2010,0,34,5.88235294117647
Schneider-Ammann Johann N.,2010,1,253,0.3952569169960474
Schneider-Ammann Johann N.,2010,2,312,0.9615384615384616
Schneider-Ammann Johann N.,2010,3,171,1.7543859649122806
Schneider-Ammann Johann N.,2010,4,208,0.0
Schneider-Ammann Johann N.,2010,5,214,3.2710280373831773
Sommaruga Simonetta,2010,-5,50,2.0
Sommaruga Simonetta,2010,-4,53,5.660377358490567
Sommaruga Simonetta,2010,-3,53,18.867924528301888
Sommaruga Simonetta,2010,-2,70,2.857142857142857
Sommaruga Simonetta,2010,-1,183,2.73224043715847
Sommaruga Simonetta,2010,0,75,1.3333333333333335
Sommaruga Simonetta,2010,1,230,1.7391304347826086
Sommaruga Simonetta,2010,2,278,1.7985611510791366
Sommaruga Simonetta,2010,3,263,2.6615969581749046
Sommaruga Simonetta,2010,4,338,4.437869822485207
Sommaruga Simonetta,2010,5,243,2.4691358024691357
