CAP_Topic,party,early_pct,late_pct,shift_pp
Transportation,Mitte,11.600000000000001,8.256880733944955,-3.343119266055046
Transportation,SP,14.14141414141414,6.349206349206349,-7.792207792207791
Transportation,SVP,19.047619047619047,5.88235294117647,-13.165266106442576
Agriculture,GLP,,0.0,
Agriculture,Grüne,,24.691358024691358,
Civil Rights,Grüne,,27.450980392156865,
Culture,Grüne,,0.0,
Defense,Grüne,,12.76595744680851,
Domestic Commerce,GLP,,0.0,
Domestic Commerce,Grüne,,19.230769230769234,
Education,GLP,,0.0,
Education,Grüne,,4.3478260869565215,
Energy,GLP,,0.0,
Energy,Grüne,,18.91891891891892,
Environment,GLP,,0.0,
Environment,Grüne,,24.489795918367346,
Foreign Trade,GLP,,0.0,
Foreign Trade,Grüne,,0.0,
Government Operations,GLP,,0.0,
Government Operations,Grüne,,3.278688524590164,
Health,Grüne,,31.666666666666664,
Housing,Grüne,,13.636363636363635,
Immigration,GLP,,10.0,
Immigration,Grüne,,19.51219512195122,
International Affairs,GLP,,40.0,
International Affairs,Grüne,,34.61538461538461,
Labor,GLP,,0.0,
Labor,Grüne,,23.076923076923077,
Law and Crime,GLP,,0.0,
Law and Crime,Grüne,,7.8125,
Macroeconomics,GLP,,0.0,
Macroeconomics,Grüne,,21.73913043478261,
Public Lands,Grüne,,33.33333333333333,
Social Welfare,Grüne,,21.875,
Technology,Grüne,,0.0,
Transportation,Grüne,,12.195121951219512,
