legislature,party,share_emotion_pct
46 (99-03),FDP,10.33138401559454
46 (99-03),Grüne,44.37984496124031
46 (99-03),Mitte,9.959514170040485
46 (99-03),SP,22.860125260960334
46 (99-03),SVP,14.896867838044308
47 (04-07),FDP,8.129675810473817
47 (04-07),GLP,0.0
47 (04-07),Grüne,31.2807881773399
47 (04-07),Mitte,9.285187914517318
47 (04-07),SP,19.09307875894988
47 (04-07),SVP,15.87147030185005
48 (08-11),FDP,8.80794701986755
48 (08-11),GLP,5.357142857142857
48 (08-11),Grüne,25.025025025025027
48 (08-11),Mitte,12.430939226519337
48 (08-11),SP,19.670672007120604
48 (08-11),SVP,22.469233822945615
49 (12-15),FDP,6.8718682891911245
49 (12-15),GLP,12.251655629139073
49 (12-15),Grüne,21.17527862208713
49 (12-15),Mitte,11.737704918032787
49 (12-15),SP,19.770520741394527
49 (12-15),SVP,20.401493930905694
50 (16-19),FDP,7.2907290729072916
50 (16-19),GLP,15.217391304347828
50 (16-19),Grüne,24.416796267496114
50 (16-19),Mitte,10.778914240755311
50 (16-19),SP,21.48190695002872
50 (16-19),SVP,28.252234359483612
51 (20-23),FDP,9.659090909090908
51 (20-23),GLP,16.464237516869098
51 (20-23),Grüne,27.790432801822323
51 (20-23),Mitte,10.116731517509727
51 (20-23),SP,24.363057324840764
51 (20-23),SVP,26.832579185520363
52 (24-25),FDP,13.642756680731363
52 (24-25),GLP,20.520231213872833
52 (24-25),Grüne,28.17258883248731
52 (24-25),Mitte,13.399153737658676
52 (24-25),SP,29.139685476410733
52 (24-25),SVP,27.723516153268218
