year,anger_share_pct
1999,13.636363636363635
2000,7.98004987531172
2001,15.061295971978982
2002,14.91108071135431
2003,9.658536585365853
2004,10.894660894660895
2005,10.227272727272728
2006,9.910913140311804
2007,14.844444444444443
2008,13.482335976928622
2009,18.685121107266436
2010,16.600159616919395
2011,13.183279742765272
2012,14.71415182755389
2013,16.918714555765597
2014,17.137648131267092
2015,15.63573883161512
2016,16.08
2017,20.6308610400682
2018,24.56556082148499
2019,24.190938511326863
2020,19.17562724014337
2021,18.273260687342834
2022,21.024734982332156
2023,22.874149659863946
2024,20.411160058737153
2025,21.056493030080702
