CAP_Topic,early_pct,late_pct,ratio
Macroeconomics,15.465822116653472,12.4633749321758,0.8058656590104796
Health,10.088413829506466,11.323928377645144,1.1224686624695213
Law and Crime,8.115597783056215,8.518719479110146,1.0496724587430357
International Affairs,9.85748218527316,10.119370591427021,1.0265674744556086
Government Operations,11.526788070731063,6.581660336408031,0.5709882315890104
Agriculture,6.743204011612562,8.65979381443299,1.2842253918938002
Immigration,8.366323568223805,7.965274009766684,0.9520638240695889
Domestic Commerce,6.795988387437318,6.397178513293543,0.9413168693929801
Transportation,6.947743467933491,5.583288117200217,0.8036117255867664
Defense,6.980733702823964,6.684753119913185,0.9576003618658244
Environment,3.490366851411982,9.137276180141074,2.617855534711117
Civil Rights,5.6215360253365,6.565382528486163,1.1678983286588767
