CAP_Topic,early_pct,late_pct,delta_pp
Macroeconomics,15.919500346981263,12.519618495714113,-3.39988185126715
Health,9.854267869535045,12.519618495714113,2.665350626179068
Law and Crime,9.757113115891741,10.40685741880961,0.6497443029178687
International Affairs,7.716863289382374,7.569721115537849,-0.1471421738445251
Government Operations,16.39139486467731,8.897742363877823,-7.493652500799486
Agriculture,6.2456627342123525,7.46106483158276,1.2154020973704078
Immigration,4.941013185287995,5.939876856211518,0.998863670923523
Domestic Commerce,7.716863289382374,8.77701315948328,1.060149870100906
Transportation,8.466342817487856,7.4248460702643975,-1.0414967472234586
Defense,4.566273421235254,6.712543764336592,2.146270343101339
Environment,3.5392088827203327,6.664252082578775,3.1250431998584425
Civil Rights,4.885496183206107,5.1068453458891705,0.22134916268306348
