year,party,anger_share_pct
1999,FDP,1.0
1999,Mitte,0.0
1999,SP,1.36986301369863
1999,SVP,0.0
2000,FDP,3.0585106382978724
2000,Mitte,2.936096718480138
2000,SP,5.319148936170213
2000,SVP,7.103825136612022
2001,FDP,2.4516129032258065
2001,Mitte,3.0737704918032787
2001,SP,6.694560669456067
2001,SVP,8.16326530612245
2002,FDP,3.0831099195710454
2002,Mitte,2.1463414634146343
2002,SP,4.067796610169491
2002,SVP,3.0837004405286343
2003,FDP,2.788339670468948
2003,Mitte,1.6304347826086956
2003,SP,3.3932135728542914
2003,SVP,9.67741935483871
2004,FDP,2.6470588235294117
2004,Mitte,3.5653650254668934
2004,SP,6.58682634730539
2004,SVP,5.303030303030303
2005,FDP,3.2530120481927707
2005,Mitte,2.4024024024024024
2005,SP,8.176100628930817
2005,SVP,7.64525993883792
2006,FDP,1.1025358324145533
2006,Mitte,1.8934911242603552
2006,SP,5.25
2006,SVP,4.651162790697675
2007,FDP,1.6891891891891893
2007,GLP,25.0
2007,Grüne,0.0
2007,Mitte,1.27826941986234
2007,SP,5.025125628140704
2007,SVP,4.017857142857143
2008,FDP,3.0732860520094563
2008,GLP,12.0
2008,Grüne,6.25
2008,Mitte,2.5889967637540456
2008,SP,4.641350210970464
2008,SVP,3.43980343980344
2009,FDP,3.9867109634551494
2009,GLP,9.67741935483871
2009,Grüne,14.000000000000002
2009,Mitte,2.1170610211706102
2009,SP,2.6785714285714284
2009,SVP,13.720316622691293
2010,FDP,2.2271714922048997
2010,GLP,2.127659574468085
2010,Grüne,12.5
2010,Mitte,2.799552071668533
2010,SP,4.025423728813559
2010,SVP,7.991803278688526
2011,FDP,3.368794326241135
2011,GLP,1.4705882352941175
2011,Grüne,7.6923076923076925
2011,Mitte,1.5873015873015872
2011,SP,5.361305361305361
2011,SVP,6.235565819861432
2012,FDP,1.3232514177693762
2012,GLP,0.0
2012,Grüne,6.081081081081082
2012,Mitte,1.82370820668693
2012,SP,4.6
2012,SVP,10.116731517509727
2013,FDP,2.9702970297029703
2013,GLP,8.955223880597014
2013,Grüne,4.761904761904762
2013,Mitte,2.0338983050847457
2013,SP,6.682577565632458
2013,SVP,9.137055837563452
2014,FDP,3.303964757709251
2014,GLP,0.8771929824561403
2014,Grüne,9.523809523809524
2014,Mitte,1.602136181575434
2014,SP,3.0821917808219177
2014,SVP,9.433962264150944
2015,FDP,1.4563106796116505
2015,GLP,2.8169014084507045
2015,Grüne,8.403361344537815
2015,Mitte,1.098901098901099
2015,SP,2.4113475177304964
2015,SVP,6.529209621993128
2016,FDP,0.6722689075630253
2016,Grüne,4.761904761904762
2016,Mitte,1.3539651837524178
2016,SP,4.462474645030426
2016,SVP,9.289617486338798
2017,FDP,2.6607538802660753
2017,Grüne,6.0606060606060606
2017,Mitte,1.2605042016806722
2017,SP,2.73972602739726
2017,SVP,11.875
2018,FDP,2.132701421800948
2018,Grüne,4.25531914893617
2018,Mitte,1.6771488469601679
2018,SP,4.901960784313726
2018,SVP,11.885245901639344
2019,FDP,1.9067796610169492
2019,Grüne,3.6585365853658534
2019,Mitte,1.5126050420168067
2019,SP,6.387665198237885
2019,SVP,12.755102040816327
2020,FDP,2.064220183486239
2020,Grüne,5.128205128205128
2020,Mitte,1.183431952662722
2020,SP,2.443609022556391
2020,SVP,5.928853754940711
2021,FDP,0.592885375494071
2021,Grüne,3.8461538461538463
2021,Mitte,1.4416775884665793
2021,SP,3.346456692913386
2021,SVP,5.2434456928838955
2022,FDP,1.440329218106996
2022,Grüne,1.8633540372670807
2022,Mitte,0.847457627118644
2022,SP,4.189944134078212
2022,SVP,1.6666666666666667
2023,FDP,2.301255230125523
2023,Grüne,4.4692737430167595
2023,Mitte,1.445466491458607
2023,SP,7.667731629392971
2023,SVP,7.569721115537849
2024,FDP,1.5384615384615385
2024,GLP,5.555555555555555
2024,Grüne,7.194244604316546
2024,Mitte,2.9077117572692797
2024,SP,5.189620758483033
2024,SVP,5.649717514124294
2025,FDP,1.2345679012345678
2025,GLP,0.0
2025,Grüne,3.076923076923077
2025,Mitte,3.2133676092544987
2025,SP,7.801418439716312
2025,SVP,6.905370843989769
