topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Domestic Commerce,SP,0.4027589482746674,-0.47598784796097116,-0.7516273594129099,0.27563951145193877,12.769784172661872,15.955983493810177,11.267605633802818,6.0344827586206895,71,116
Domestic Commerce,Grüne,0.4027589482746674,0.687757909215956,0.343878954607978,0.343878954607978,0.0,3.576341127922971,,19.230769230769234,0,26
Domestic Commerce,GLP,0.4027589482746674,0.0,0.0,0.0,0.0,0.6877579092159559,,0.0,0,5
Domestic Commerce,Mitte,0.4027589482746674,0.6667293400492811,0.8721482750466997,-0.20541893499741865,43.884892086330936,38.65199449793673,2.8688524590163933,4.98220640569395,244,281
Domestic Commerce,FDP,0.4027589482746674,-0.9203091447062434,-0.7858931300086043,-0.13441601469763906,30.39568345323741,28.060522696011002,7.100591715976331,4.411764705882353,169,204
Domestic Commerce,SVP,0.4027589482746674,0.4445686916766449,0.4279118513630419,0.016656840313603028,12.949640287769784,13.067400275103164,12.5,15.789473684210526,72,95
Transportation,SP,-5.960282553645209,-1.644675463148074,-1.0314315832108714,-0.6132438799372028,16.229508196721312,10.24390243902439,14.14141414141414,6.349206349206349,99,63
Transportation,Grüne,-5.960282553645209,0.8130081300813007,0.40650406504065034,0.40650406504065034,0.0,6.666666666666667,,12.195121951219512,0,41
Transportation,GLP,-5.960282553645209,0.0,0.0,0.0,0.0,0.0,,,0,0
Transportation,Mitte,-5.960282553645209,-1.8272690923630548,-1.2775857485751878,-0.549683343787867,40.98360655737705,35.44715447154472,11.600000000000001,8.256880733944955,250,218
Transportation,FDP,-5.960282553645209,-1.3288018126082903,-1.9964678535365519,0.6676660409282614,29.016393442622952,36.58536585365854,11.864406779661017,5.777777777777778,177,225
Transportation,SVP,-5.960282553645209,-1.9725443156070903,-1.6342967948208202,-0.3382475207862702,13.77049180327869,11.05691056910569,19.047619047619047,5.88235294117647,84,68
Defense,SP,8.669174083225819,2.325555968598981,1.6983302675081375,0.6272257010908435,10.638297872340425,14.748201438848922,8.571428571428571,21.951219512195124,35,82
Defense,Grüne,8.669174083225819,1.079136690647482,0.539568345323741,0.539568345323741,0.0,8.453237410071942,,12.76595744680851,0,47
Defense,GLP,8.669174083225819,0.0,0.0,0.0,0.0,0.0,,,0,0
Defense,Mitte,8.669174083225819,4.719446327436533,6.6595018231619525,-1.94005549572542,47.41641337386018,30.035971223021583,2.564102564102564,19.760479041916167,156,167
Defense,FDP,8.669174083225819,-0.6888106536047757,-0.7512780483385761,0.06246739473380051,23.10030395136778,23.92086330935252,9.210526315789473,6.015037593984962,76,133
Defense,SVP,8.669174083225819,1.2338457501476026,0.7729565490838142,0.4608892010637884,18.84498480243161,22.841726618705035,9.67741935483871,13.385826771653544,62,127
Environment,SP,1.1551577152600176,0.0021312872975272623,-0.2729782211879402,0.27510950848546745,14.50980392156863,16.304347826086957,16.216216216216218,14.444444444444443,37,90
Environment,Grüne,1.1551577152600176,4.3478260869565215,2.1739130434782608,2.1739130434782608,0.0,17.753623188405797,,24.489795918367346,0,98
Environment,GLP,1.1551577152600176,0.0,0.0,0.0,0.0,0.7246376811594203,,0.0,0,4
Environment,Mitte,1.1551577152600176,-0.5413469735720378,-0.4482018662658711,-0.09314510730616667,33.72549019607843,32.2463768115942,6.976744186046512,5.617977528089887,86,178
Environment,FDP,1.1551577152600176,0.12148337595907927,0.3970397373745085,-0.2755563614154292,33.33333333333333,24.27536231884058,2.3529411764705883,3.731343283582089,85,134
Environment,SVP,1.1551577152600176,-2.774936061381074,-1.743536606748774,-1.0313994546323,18.43137254901961,8.695652173913043,17.02127659574468,4.166666666666666,47,48
Civil Rights,SP,7.20704384268214,4.4400118203309695,1.4087247696992784,3.0312870506316916,15.056818181818182,27.659574468085108,20.754716981132077,27.350427350427353,53,117
Civil Rights,Grüne,7.20704384268214,3.309692671394799,1.6548463356973995,1.6548463356973995,0.0,12.056737588652481,,27.450980392156865,0,51
Civil Rights,GLP,7.20704384268214,0.0,0.0,0.0,0.0,0.0,,,0,0
Civil Rights,Mitte,7.20704384268214,5.667714377820761,5.155687177067662,0.5120272007530982,28.125,30.260047281323878,15.151515151515152,32.8125,99,128
Civil Rights,FDP,7.20704384268214,-6.110976789168279,-2.3981687499526316,-3.7128080392156475,44.60227272727273,19.38534278959811,18.471337579617835,10.975609756097562,157,82
Civil Rights,SVP,7.20704384268214,-0.09939823769611006,0.3661397497988296,-0.46553798749493963,12.215909090909092,10.638297872340425,27.906976744186046,31.11111111111111,43,45
