year,party,fear_share_pct
1999,FDP,0.0
1999,Mitte,0.0
1999,SP,0.0
1999,SVP,0.0
2000,FDP,0.39893617021276595
2000,Mitte,0.5181347150259068
2000,SP,1.0638297872340425
2000,SVP,1.092896174863388
2001,FDP,0.6451612903225806
2001,Mitte,0.4098360655737705
2001,SP,0.0
2001,SVP,0.5102040816326531
2002,FDP,0.5361930294906166
2002,Mitte,0.1951219512195122
2002,SP,0.0
2002,SVP,0.0
2003,FDP,1.1406844106463878
2003,Mitte,0.5434782608695652
2003,SP,0.5988023952095809
2003,SVP,1.3824884792626728
2004,FDP,0.29411764705882354
2004,Mitte,0.8488964346349746
2004,SP,0.5988023952095809
2004,SVP,0.7575757575757576
2005,FDP,0.8433734939759037
2005,Mitte,0.40040040040040037
2005,SP,1.5723270440251573
2005,SVP,0.6116207951070336
2006,FDP,0.2205071664829107
2006,Mitte,0.591715976331361
2006,SP,0.5
2006,SVP,0.516795865633075
2007,FDP,0.8445945945945946
2007,GLP,0.0
2007,Grüne,0.0
2007,Mitte,0.19665683382497542
2007,SP,0.5025125628140703
2007,SVP,0.2232142857142857
2008,FDP,0.4728132387706856
2008,GLP,4.0
2008,Grüne,1.25
2008,Mitte,0.48543689320388345
2008,SP,0.8438818565400843
2008,SVP,0.7371007371007371
2009,FDP,0.33222591362126247
2009,GLP,6.451612903225806
2009,Grüne,2.0
2009,Mitte,0.8717310087173101
2009,SP,0.5102040816326531
2009,SVP,0.5277044854881267
2010,FDP,0.22271714922048996
2010,GLP,0.0
2010,Grüne,2.8846153846153846
2010,Mitte,0.8958566629339306
2010,SP,1.4830508474576272
2010,SVP,0.6147540983606558
2011,FDP,1.0638297872340425
2011,GLP,0.0
2011,Grüne,2.197802197802198
2011,Mitte,0.7215007215007215
2011,SP,1.6317016317016315
2011,SVP,0.6928406466512702
2012,FDP,0.3780718336483932
2012,GLP,1.0416666666666665
2012,Grüne,1.3513513513513513
2012,Mitte,0.303951367781155
2012,SP,0.6
2012,SVP,0.7782101167315175
2013,FDP,0.49504950495049505
2013,GLP,0.0
2013,Grüne,2.976190476190476
2013,Mitte,0.1694915254237288
2013,SP,0.7159904534606205
2013,SVP,1.5228426395939088
2014,FDP,0.6607929515418502
2014,GLP,0.0
2014,Grüne,0.0
2014,Mitte,0.5340453938584779
2014,SP,0.17123287671232876
2014,SVP,0.628930817610063
2015,FDP,0.48543689320388345
2015,GLP,0.0
2015,Grüne,0.8403361344537815
2015,Mitte,0.3139717425431711
2015,SP,0.5673758865248227
2015,SVP,2.405498281786942
2016,FDP,0.16806722689075632
2016,Grüne,0.0
2016,Mitte,0.3868471953578337
2016,SP,1.2170385395537524
2016,SVP,0.0
2017,FDP,0.4434589800443459
2017,Grüne,3.0303030303030303
2017,Mitte,0.42016806722689076
2017,SP,1.36986301369863
2017,SVP,0.625
2018,FDP,0.7109004739336493
2018,Grüne,0.0
2018,Mitte,0.20964360587002098
2018,SP,0.0
2018,SVP,0.4098360655737705
2019,FDP,0.211864406779661
2019,Grüne,0.0
2019,Mitte,0.33613445378151263
2019,SP,0.6607929515418502
2019,SVP,0.0
2020,FDP,0.6880733944954129
2020,Grüne,1.9230769230769231
2020,Mitte,0.591715976331361
2020,SP,0.18796992481203006
2020,SVP,1.185770750988142
2021,FDP,0.1976284584980237
2021,Grüne,0.7692307692307693
2021,Mitte,0.39318479685452157
2021,SP,0.19685039370078738
2021,SVP,1.8726591760299627
2022,FDP,0.411522633744856
2022,Grüne,1.8633540372670807
2022,Mitte,0.14124293785310735
2022,SP,0.5586592178770949
2022,SVP,0.8333333333333334
2023,FDP,1.4644351464435146
2023,Grüne,0.5586592178770949
2023,Mitte,0.1314060446780552
2023,SP,0.3194888178913738
2023,SVP,2.788844621513944
2024,FDP,0.0
2024,GLP,0.0
2024,Grüne,0.0
2024,Mitte,1.0113780025284451
2024,SP,0.7984031936127743
2024,SVP,0.5649717514124294
2025,FDP,0.9876543209876543
2025,GLP,0.0
2025,Grüne,2.307692307692308
2025,Mitte,1.0282776349614395
2025,SP,2.127659574468085
2025,SVP,0.5115089514066496
