year,party,anger_share_pct
1999,FDP,6.722689075630252
1999,Grüne,27.586206896551722
1999,Mitte,6.329113924050633
1999,SP,14.084507042253522
1999,SVP,13.636363636363635
2000,FDP,6.312769010043041
2000,Grüne,23.076923076923077
2000,Mitte,2.8469750889679712
2000,SP,14.640198511166252
2000,SVP,7.98004987531172
2001,FDP,6.171548117154812
2001,Grüne,29.599999999999998
2001,Mitte,4.449648711943794
2001,SP,15.289648622981955
2001,SVP,15.061295971978982
2002,FDP,5.511811023622047
2002,Grüne,23.98843930635838
2002,Mitte,4.512372634643377
2002,SP,11.656891495601172
2002,SVP,14.91108071135431
2003,FDP,4.012738853503184
2003,Grüne,23.225806451612904
2003,Mitte,5.431309904153355
2003,SP,16.573556797020483
2003,SVP,9.658536585365853
2004,FDP,5.4910242872228086
2004,Grüne,21.17400419287212
2004,Mitte,5.289052890528905
2004,SP,12.03416149068323
2004,SVP,10.894660894660895
2005,FDP,4.558969276511397
2005,Grüne,20.496894409937887
2005,Mitte,3.215434083601286
2005,SP,13.202933985330073
2005,SVP,10.227272727272728
2006,FDP,2.77511961722488
2006,Grüne,17.045454545454543
2006,Mitte,3.577235772357724
2006,SP,10.274869109947645
2006,SVP,9.910913140311804
2007,FDP,3.3653846153846154
2007,GLP,0.0
2007,Grüne,13.592233009708737
2007,Mitte,4.30622009569378
2007,SP,16.37372802960222
2007,SVP,14.844444444444443
2008,FDP,8.721804511278195
2008,GLP,1.8518518518518516
2008,Grüne,13.535353535353536
2008,Mitte,5.10752688172043
2008,SP,11.984282907662083
2008,SVP,13.482335976928622
2009,FDP,7.180156657963447
2009,GLP,3.225806451612903
2009,Grüne,13.898305084745763
2009,Mitte,5.139765554553652
2009,SP,12.057761732851986
2009,SVP,18.685121107266436
2010,FDP,6.185567010309279
2010,GLP,0.0
2010,Grüne,14.165261382799327
2010,Mitte,6.774668630338733
2010,SP,11.756061719324027
2010,SVP,16.600159616919395
2011,FDP,5.142231947483589
2011,GLP,0.0
2011,Grüne,12.476370510396976
2011,Mitte,4.166666666666666
2011,SP,12.372013651877133
2011,SVP,13.183279742765272
2012,FDP,3.5278154681139755
2012,GLP,3.619909502262444
2012,Grüne,11.338289962825279
2012,Mitte,4.119318181818182
2012,SP,12.321428571428573
2012,SVP,14.71415182755389
2013,FDP,5.676855895196507
2013,GLP,4.296875
2013,Grüne,10.590631364562118
2013,Mitte,6.302521008403361
2013,SP,12.900274473924977
2013,SVP,16.918714555765597
2014,FDP,4.838709677419355
2014,GLP,4.696132596685083
2014,Grüne,16.210526315789473
2014,Mitte,5.508982035928144
2014,SP,12.534059945504087
2014,SVP,17.137648131267092
2015,FDP,4.574132492113565
2015,GLP,5.247813411078718
2015,Grüne,14.16490486257928
2015,Mitte,6.047819971870605
2015,SP,12.065972222222223
2015,SVP,15.63573883161512
2016,FDP,4.289544235924933
2016,GLP,5.211726384364821
2016,Grüne,9.562841530054644
2016,Mitte,5.282555282555283
2016,SP,15.321849501359926
2016,SVP,16.08
2017,FDP,4.1166380789022305
2017,GLP,4.878048780487805
2017,Grüne,12.658227848101266
2017,Mitte,4.258443465491924
2017,SP,11.252653927813164
2017,SVP,20.6308610400682
2018,FDP,5.271084337349398
2018,GLP,10.83743842364532
2018,Grüne,15.573770491803279
2018,Mitte,5.038759689922481
2018,SP,16.134913400182317
2018,SVP,24.56556082148499
2019,FDP,2.8205128205128207
2019,GLP,10.355987055016183
2019,Grüne,13.37448559670782
2019,Mitte,4.733009708737864
2019,SP,12.980769230769232
2019,SVP,24.190938511326863
2020,FDP,3.1377899045020468
2020,GLP,4.651162790697675
2020,Grüne,13.178294573643413
2020,Mitte,4.574132492113565
2020,SP,12.887596899224807
2020,SVP,19.17562724014337
2021,FDP,4.0472175379426645
2021,GLP,5.633802816901409
2021,Grüne,14.285714285714285
2021,Mitte,3.52
2021,SP,14.50381679389313
2021,SVP,18.273260687342834
2022,FDP,5.901639344262295
2022,GLP,4.294478527607362
2022,Grüne,8.520179372197308
2022,Mitte,5.654281098546042
2022,SP,13.142857142857142
2022,SVP,21.024734982332156
2023,FDP,3.869047619047619
2023,GLP,4.644808743169399
2023,Grüne,10.068965517241379
2023,Mitte,5.185185185185185
2023,SP,12.47191011235955
2023,SVP,22.874149659863946
2024,FDP,5.169340463458111
2024,GLP,2.877697841726619
2024,Grüne,9.746835443037975
2024,Mitte,4.051863857374392
2024,SP,14.759036144578314
2024,SVP,20.411160058737153
2025,FDP,5.763239875389408
2025,GLP,6.451612903225806
2025,Grüne,18.304172274562582
2025,Mitte,7.048458149779736
2025,SP,23.308270676691727
2025,SVP,21.056493030080702
