party,frac_mp_female_pct,frac_speeches_female_pct
SP,47.61904761904761,51.37148546122421
Grüne,57.14285714285714,52.115933091806056
GLP,45.83333333333333,32.317880794701985
Mitte,25.423728813559322,30.462943300063706
FDP,24.8,22.97724105898746
SVP,15.432098765432098,10.33886818027787
