CantonName,speech_share,mp_share,gap_pp
Neuenburg,1.9741133656057952,3.15955766192733,-1.1854442963215346
Graubünden,1.90716517320699,2.843601895734597,-0.9364367225276071
Bern,10.957187489271123,11.848341232227488,-0.8911537429563658
Thurgau,2.4170014076286606,3.0015797788309637,-0.5845783712023032
Basel-Stadt,2.5826552683077555,3.15955766192733,-0.5769023936195743
Appenzell A.-Rh.,0.5038280633089574,0.7898894154818324,-0.2860613521728751
Genf,5.882857829505269,6.161137440758294,-0.2782796112530246
Uri,0.3604902667627974,0.631911532385466,-0.27142126562266866
Tessin,3.367150753596319,3.6334913112164293,-0.2663405576201101
Obwalden,0.5501768118927455,0.7898894154818324,-0.23971260358908697
Jura,0.870326501184468,1.1058451816745656,-0.2355186804900976
Schwyz,1.823050777629004,2.0537124802527646,-0.23066170262376073
Waadt,9.679163662581109,9.794628751974724,-0.11546508939361466
Glarus,0.40083084423387233,0.47393364928909953,-0.0731028050552272
Nidwalden,0.4669207264737185,0.47393364928909953,-0.0070129228153810175
Appenzell I.-Rh.,0.5029697531499983,0.47393364928909953,0.02903610386089872
Luzern,4.797095478422082,4.739336492890995,0.057758985531086715
Solothurn,3.467573042194527,3.3175355450236967,0.15003749717083048
Aargau,8.260376969821815,7.898894154818326,0.3614828150034892
Schaffhausen,1.2093590139732893,0.7898894154818324,0.4194695984914568
St. Gallen,6.2004325883201155,5.687203791469194,0.513228796850921
Wallis,4.807395200329591,4.265402843601896,0.541992356727695
Zug,1.78185188999897,1.1058451816745656,0.6760067083244043
Freiburg,3.8838534692896625,3.15955766192733,0.7242958073623327
Zürich,17.081230473443885,15.797788309636651,1.2834421638072335
Basel-Landschaft,4.264943179867477,2.843601895734597,1.4213412841328799
