year,topic_broad,share_pct
2016,Economy & Infrastructure,8.748728382502543
2017,Economy & Infrastructure,18.926800816564597
2018,Economy & Infrastructure,13.951612903225808
2019,Economy & Infrastructure,14.794322828963194
2020,Economy & Infrastructure,14.418956390219309
2021,Economy & Infrastructure,13.40782122905028
2022,Economy & Infrastructure,9.132297803963578
2023,Economy & Infrastructure,11.455186304128901
2024,Economy & Infrastructure,8.802992518703242
2025,Economy & Infrastructure,13.408491244902853
1999,Energy & Environment,2.729528535980149
2000,Energy & Environment,10.650642353916288
2001,Energy & Environment,2.430093209054594
2002,Energy & Environment,9.519912711402073
2003,Energy & Environment,5.762338020402537
2004,Energy & Environment,3.5545023696682465
2005,Energy & Environment,7.234858865442587
2006,Energy & Environment,9.693430656934307
2007,Energy & Environment,7.24805082298585
2008,Energy & Environment,7.64481034989709
2009,Energy & Environment,7.335364424654324
2010,Energy & Environment,10.750454427421449
2011,Energy & Environment,7.0939954395743605
2012,Energy & Environment,5.016808895784846
2013,Energy & Environment,8.538849111641476
2014,Energy & Environment,13.862618218018916
2015,Energy & Environment,8.277976494634645
2016,Energy & Environment,7.782299084435401
2017,Energy & Environment,9.303003791192769
2018,Energy & Environment,6.155913978494624
2019,Energy & Environment,10.60861197979312
2020,Energy & Environment,8.394252583816487
2021,Energy & Environment,7.342378292098963
2022,Energy & Environment,17.996786288162827
2023,Energy & Environment,16.2134944612286
2024,Energy & Environment,12.668329177057355
2025,Energy & Environment,9.858479251619093
1999,Foreign Policy & Security,10.173697270471465
2000,Foreign Policy & Security,13.095731454620804
2001,Foreign Policy & Security,10.51930758988016
2002,Foreign Policy & Security,5.182760501909438
2003,Foreign Policy & Security,9.511993382961125
2004,Foreign Policy & Security,9.215376513954714
2005,Foreign Policy & Security,6.083858591394903
2006,Foreign Policy & Security,7.386861313868613
2007,Foreign Policy & Security,6.352873231302339
2008,Foreign Policy & Security,9.967656571596589
2009,Foreign Policy & Security,8.530583548160301
2010,Foreign Policy & Security,7.478576992988834
2011,Foreign Policy & Security,8.006080567519636
2012,Foreign Policy & Security,6.982156710628394
2013,Foreign Policy & Security,6.443914081145586
2014,Foreign Policy & Security,6.5206570433051265
2015,Foreign Policy & Security,6.00408788962698
2016,Foreign Policy & Security,8.138351983723297
2017,Foreign Policy & Security,8.078156897054535
2018,Foreign Policy & Security,10.026881720430108
2019,Foreign Policy & Security,9.574212172239596
