topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Macroeconomics,SP,2.4804203732127217,0.5775265556349656,1.8515453373053745,-1.274018781670409,26.535836177474405,20.766216804527645,18.167202572347264,25.995807127882596,622,477
Macroeconomics,Grüne,2.4804203732127217,-0.6380744434423291,-2.380605165249544,1.7425307218072148,6.74061433447099,12.538093164997823,42.405063291139236,17.708333333333336,158,288
Macroeconomics,GLP,2.4804203732127217,0.6094906399651719,0.30474531998258597,0.30474531998258597,0.0,7.575097953852851,,8.045977011494253,0,174
Macroeconomics,Mitte,2.4804203732127217,0.6217116553569652,0.6976810721423518,-0.07596941678538661,17.49146757679181,16.10796691336526,3.414634146341464,7.567567567567568,410,370
Macroeconomics,FDP,2.4804203732127217,-0.9637700755251322,-0.35074866749194966,-0.6130214080331825,26.493174061433443,16.456247279059642,6.924315619967794,5.291005291005291,621,378
Macroeconomics,SVP,2.4804203732127217,2.2735360412230823,1.7046316781215383,0.5689043631015441,22.738907849829353,26.55637788419678,11.44465290806754,18.360655737704917,533,610
Health,SP,7.085439371637248,0.46069865369193486,1.7861608125337256,-1.3254621588417907,28.58077174623937,22.85577383804504,19.679633867276888,26.62473794549266,437,477
Health,Grüne,7.085439371637248,2.549715248056815,0.06512023247909099,2.484595015577724,7.979071288423806,14.518447532343076,37.704918032786885,38.28382838283829,122,303
Health,GLP,7.085439371637248,1.4853857211308097,0.7426928605654048,0.7426928605654048,0.0,6.6123622424532815,,22.463768115942027,0,138
Health,Mitte,7.085439371637248,-0.29796087336255483,-0.31900222397762384,0.02104135061506903,16.08894702419882,16.291327264015333,11.38211382113821,9.411764705882353,246,340
Health,FDP,7.085439371637248,-1.6668635732177421,0.12308278138285973,-1.7899463546006018,31.5892740353172,13.320555821753713,9.523809523809524,10.071942446043165,483,278
Health,SVP,7.085439371637248,4.554464195337985,2.579194827738098,1.9752693675998874,15.761935905820797,26.401533301389556,12.448132780082988,24.682395644283122,241,551
Law and Crime,SP,4.808140438092279,-2.4695769250686133,0.3254864455491694,-2.7950633706177825,30.0,18.343949044585987,23.306233062330623,24.65277777777778,369,288
Law and Crime,Grüne,4.808140438092279,-1.0429289006265854,-2.1614326176016285,1.1185037169750431,12.276422764227641,16.43312101910828,34.437086092715234,19.379844961240313,151,258
Law and Crime,GLP,4.808140438092279,1.2101910828025477,0.6050955414012739,0.6050955414012739,0.0,7.707006369426751,,15.702479338842975,0,121
