CantonName,share_pct
Zürich,17.081230473443885
Bern,10.957187489271123
Waadt,9.679163662581109
Aargau,8.260376969821815
St. Gallen,6.2004325883201155
Genf,5.882857829505269
Wallis,4.807395200329591
Luzern,4.797095478422082
Basel-Landschaft,4.264943179867477
Freiburg,3.8838534692896625
Solothurn,3.467573042194527
Tessin,3.367150753596319
Basel-Stadt,2.5826552683077555
Thurgau,2.4170014076286606
Neuenburg,1.9741133656057952
Graubünden,1.90716517320699
Schwyz,1.823050777629004
Zug,1.78185188999897
Schaffhausen,1.2093590139732893
Jura,0.870326501184468
Obwalden,0.5501768118927455
Appenzell A.-Rh.,0.5038280633089574
Appenzell I.-Rh.,0.5029697531499983
Nidwalden,0.4669207264737185
Glarus,0.40083084423387233
Uri,0.3604902667627974
