party,period,anger_share_pct
FDP,post-2007,5.015149099027268
FDP,pre-2007,4.672897196261682
GLP,post-2007,5.166703466548907
GLP,pre-2007,0.0
Grüne,post-2007,12.810248198558845
Grüne,pre-2007,20.86548138208655
Mitte,post-2007,5.161042944785276
Mitte,pre-2007,4.244306418219462
SP,post-2007,13.549013595011756
SP,pre-2007,13.458119836871274
SVP,post-2007,18.61523064325357
SVP,pre-2007,11.556854410201913
