topic,party,overall_change_pp,party_contribution_pp,early_party_emphasis_pct,late_party_emphasis_pct,early_count,late_count,party_emphasis_change_pp
Macroeconomics,SP,-3.0024471844776723,-1.5158137607979931,15.211543164587917,12.447807933194156,622,477,-2.7637352313937615
Macroeconomics,Grüne,-3.0024471844776723,0.5201781379602579,10.408432147562582,9.766022380467955,158,288,-0.6424097670946267
Macroeconomics,GLP,-3.0024471844776723,0.9441128594682583,,12.48206599713056,0,174,
Macroeconomics,Mitte,-3.0024471844776723,-0.6976029506552011,16.977225672877847,14.589905362776026,410,370,-2.3873203101018206
Macroeconomics,FDP,-3.0024471844776723,-2.0463833752414926,15.306877002711364,15.101877746703954,621,378,-0.20499925600740987
Macroeconomics,SVP,-3.0024471844776723,-0.20693809521150053,17.32206694832629,11.69478527607362,533,610,-5.627281672252671
Health,SP,1.2355145481386778,-0.2951750698505129,10.687209586696014,12.447807933194156,437,477,1.760598346498142
Health,Grüne,1.2355145481386778,0.8390968687809917,8.036890645586297,10.27466937945066,122,303,2.2377787338643635
Health,GLP,1.2355145481386778,0.74877916440586,,9.899569583931134,0,138,
Health,Mitte,1.2355145481386778,0.22169867453362935,10.186335403726709,13.406940063091483,246,340,3.220604659364774
Health,FDP,1.2355145481386778,-1.6784464896600046,11.905348779886616,11.106671993607671,483,278,-0.7986767862789446
Health,SVP,1.2355145481386778,1.399561399928714,7.83230419239519,10.563650306748466,241,551,2.7313461143532756
Law and Crime,SP,0.40312169605393144,-0.8720097744176787,9.024211298606016,7.515657620041753,369,288,-1.5085536785642626
Law and Crime,Grüne,0.40312169605393144,0.40358638758825394,9.947299077733861,8.748728382502543,151,258,-1.198570695231318
Law and Crime,GLP,0.40312169605393144,0.6565382528486163,,8.680057388809184,0,121,
Law and Crime,Mitte,0.40312169605393144,-0.028104887681406954,7.7018633540372665,8.714511041009464,186,221,1.0126476869721976
Law and Crime,FDP,0.40312169605393144,-1.1295441139764464,8.57776682277545,8.589692369157012,348,215,0.011925546381561958
Law and Crime,SVP,0.40312169605393144,1.3726558316925928,5.719857003574911,8.953220858895705,176,467,3.2333638553207935
International Affairs,SP,0.26188840615386155,-0.5271470789518795,11.225238444607484,12.03027139874739,459,461,0.8050329541399055
International Affairs,Grüne,0.26188840615386155,0.6814812332641237,9.881422924901186,10.444218379111565,150,308,0.562795454210379
