business_label,n_speeches,anger,enthusiasm,fear,hope,pride,total_share_emotional,years
Energiestrategie 2050,39,2.564102564102564,0.0,0.0,0.0,0.0,2.564102564102564,"2014, 2016"
Stromversorgungsgesetz,29,0.0,3.4482758620689653,0.0,0.0,0.0,3.4482758620689653,"2024, 2025"
