year,party,emotionality_z
1999,FDP,0.11296836491666666
1999,Grüne,0.23190281758620687
1999,Mitte,0.13043733377083333
1999,SP,0.17943883186725665
1999,SVP,0.29030050552295084
2000,FDP,-0.20203622454640882
2000,Grüne,0.1429148099251121
2000,Mitte,-0.22521683813937007
2000,SP,0.10710665061009036
2000,SVP,-0.05932492158183642
2001,FDP,0.018147912895833333
2001,Grüne,0.3396106050294872
2001,Mitte,0.03009402406245733
2001,SP,0.20968255288282284
2001,SVP,0.11097458478794925
2002,FDP,-0.1873936397082768
2002,Grüne,0.20000247654437872
2002,Mitte,-0.15341671781637717
2002,SP,-0.01789067038041021
2002,SVP,0.002105765682286635
2003,FDP,-0.15417008312002412
2003,Grüne,0.22490784684668988
2003,Mitte,-0.16218425647119566
2003,SP,0.11044976515756853
2003,SVP,-0.023968318206051872
2004,FDP,-0.12332182275822551
2004,Grüne,0.19250305042895927
2004,Mitte,-0.10758171891583114
2004,SP,0.014171589429908255
2004,SVP,0.012174547442602738
2005,FDP,-0.18047130910172746
2005,Grüne,0.14140576497502416
2005,Mitte,-0.2205220318208738
2005,SP,0.06196482493682394
2005,SVP,-0.10601898894929579
2006,FDP,-0.13308446571704036
2006,Grüne,0.032938479421899744
2006,Mitte,-0.2640551050958449
2006,SP,-0.029562005528347278
2006,SVP,-0.19965396490387755
2007,FDP,-0.21748079842685852
2007,Grüne,0.03243422029859155
2007,Mitte,-0.1080374737948949
2007,SP,0.0911046297276644
2007,SVP,0.0820838353808312
2008,FDP,0.06532624059094203
2008,GLP,-0.20759772699399665
2008,Grüne,0.1188046928676798
2008,Mitte,-0.04488543513803681
2008,SP,0.0832270497226158
2008,SVP,0.19577785550665744
2009,FDP,0.0009958080459793793
2009,GLP,-0.22806051469863892
2009,Grüne,0.14050549421754385
2009,Mitte,0.10527755001791768
2009,SP,0.177765354458248
2009,SVP,0.19704675206261768
2010,FDP,-0.09529084289545244
2010,GLP,-0.21064746939228468
2010,Grüne,0.06391866411809524
2010,Mitte,-0.11800473212941176
2010,SP,0.05426903061407703
2010,SVP,0.09790041568923445
2011,FDP,-0.07255346967634854
2011,GLP,-0.23946325971629595
2011,Grüne,0.05688212194672132
2011,Mitte,-0.029557368809393938
2011,SP,0.08678698827248582
2011,SVP,0.07410648620057737
2012,FDP,-0.012952345743718594
2012,GLP,-0.17889426912775624
2012,Grüne,0.03619404247640592
2012,Mitte,-0.03753376728833811
2012,SP,0.1151666545114486
2012,SVP,0.07766872164245284
2013,FDP,-0.014498584533806145
2013,GLP,-0.1264459878645508
2013,Grüne,0.006907818923750001
2013,Mitte,-0.0870414939097436
2013,SP,0.061135947378639616
2013,SVP,0.1257430582113565
2014,FDP,-0.19212678578319836
2014,GLP,-0.10793349337038466
2014,Grüne,0.034671971791442546
2014,Mitte,-0.09568960455777202
2014,SP,-0.04967697902142856
2014,SVP,0.07554002100097298
2015,FDP,-0.13381710270023311
2015,GLP,-0.15812610395004728
2015,Grüne,0.029883063758949883
2015,Mitte,-0.1333503915981873
2015,SP,0.07815379849977376
2015,SVP,0.1407391743590188
2016,FDP,-0.32011922969693096
2016,GLP,-0.11978104034622372
2016,Grüne,-0.1809731522477707
2016,Mitte,-0.17593986112857143
2016,SP,-0.029688571511963885
2016,SVP,-0.06498153733986488
2017,FDP,-0.3153904976656069
2017,GLP,-0.11205896757055372
2017,Grüne,0.10348920665047022
2017,Mitte,-0.10120277853524356
2017,SP,0.026004116807466667
2017,SVP,0.1781762087613108
2018,FDP,-0.14566009127299528
2018,GLP,-0.053307803691444
2018,Grüne,0.08255641937062937
2018,Mitte,-0.15539792566896551
2018,SP,0.10280796034581006
2018,SVP,0.21636469961950988
2019,FDP,-0.21648440483616502
2019,GLP,-0.017447768918212148
2019,Grüne,0.09871025503186528
2019,Mitte,-0.06457413024674158
2019,SP,0.14100198429673
2019,SVP,0.22960738851768356
2020,FDP,-0.08399536122970823
2020,GLP,-0.04347903142100762
2020,Grüne,0.2320989618522449
2020,Mitte,-0.007716766436964767
2020,SP,0.18097798211764707
2020,SVP,0.17808055019976496
2021,FDP,-0.055522188066391184
2021,GLP,-0.0405233885097549
2021,Grüne,0.1535378580046895
2021,Mitte,-0.15422433561328125
2021,SP,0.2355738500378219
2021,SVP,0.25094648863169733
2022,FDP,0.008545643162972972
2022,GLP,-0.020309865602197275
2022,Grüne,0.192582314449011
2022,Mitte,0.12936452957809277
2022,SP,0.367548918955531
2022,SVP,0.24124724326992936
2023,FDP,-0.08668401434173029
2023,GLP,-0.03471233005497948
2023,Grüne,0.03531154844931271
2023,Mitte,-0.13935383567688678
2023,SP,0.17041400617171146
2023,SVP,0.2212720543243402
2024,FDP,-0.11092944091464615
2024,GLP,-0.07867480373974817
2024,Grüne,0.10616257012233009
2024,Mitte,-0.08858286042265193
2024,SP,0.342761966245728
2024,SVP,0.2517792875710864
2025,FDP,0.0024740961349019566
2025,GLP,-0.018572725572363002
2025,Grüne,0.310366401930363
2025,Mitte,0.003959167801570433
2025,SP,0.3729891776868393
2025,SVP,0.36519197163743117
