year,party,share_emotion_pct
1999,FDP,14.285714285714285
1999,Grüne,51.724137931034484
1999,Mitte,13.924050632911392
1999,SP,22.535211267605636
1999,SVP,20.909090909090907
2000,FDP,12.051649928263988
2000,Grüne,38.034188034188034
2000,Mitte,7.6512455516014235
2000,SP,23.82133995037221
2000,SVP,12.718204488778055
2001,FDP,12.447698744769875
2001,Grüne,50.4
2001,Mitte,12.177985948477751
2001,SP,26.21082621082621
2001,SVP,20.31523642732049
2002,FDP,10.093056549749463
2002,Grüne,39.884393063583815
2002,Mitte,9.606986899563319
2002,SP,19.42815249266862
2002,SVP,20.24623803009576
2003,FDP,8.280254777070063
2003,Grüne,41.29032258064516
2003,Mitte,12.140575079872203
2003,SP,22.905027932960895
2003,SVP,14.243902439024389
2004,FDP,9.503695881731785
2004,Grüne,34.38155136268344
2004,Mitte,10.209102091020911
2004,SP,18.478260869565215
2004,SVP,14.79076479076479
2005,FDP,7.5322101090188305
2005,Grüne,31.262939958592135
2005,Mitte,8.360128617363344
2005,SP,20.619396903015485
2005,SVP,14.659090909090908
2006,FDP,7.464114832535886
2006,Grüne,26.36363636363636
2006,Mitte,8.292682926829269
2006,SP,18.39005235602094
2006,SVP,13.251670378619155
2007,FDP,8.012820512820513
2007,GLP,0.0
2007,Grüne,26.941747572815533
2007,Mitte,11.64274322169059
2007,SP,25.43940795559667
2007,SVP,20.177777777777777
2008,FDP,12.93233082706767
2008,GLP,7.4074074074074066
2008,Grüne,23.434343434343436
2008,Mitte,11.559139784946236
2008,SP,18.56581532416503
2008,SVP,19.826964671953856
2009,FDP,9.530026109660575
2009,GLP,4.838709677419355
2009,Grüne,23.559322033898304
2009,Mitte,12.804328223624886
2009,SP,21.010830324909747
2009,SVP,23.66782006920415
2010,FDP,10.309278350515463
2010,GLP,2.564102564102564
2010,Grüne,24.957841483979763
2010,Mitte,12.076583210603829
2010,SP,20.132255694342398
2010,SVP,22.106943335993616
2011,FDP,9.518599562363239
2011,GLP,2.803738317757009
2011,Grüne,21.17202268431002
2011,Mitte,10.833333333333334
2011,SP,20.477815699658702
2011,SVP,18.569131832797428
2012,FDP,6.919945725915875
2012,GLP,6.334841628959276
2012,Grüne,19.516728624535315
2012,Mitte,10.369318181818182
2012,SP,20.625
2012,SVP,22.02436738519213
2013,FDP,8.73362445414847
2013,GLP,9.375
2013,Grüne,20.977596741344197
2013,Mitte,12.46498599439776
2013,SP,21.31747483989021
2013,SVP,24.291115311909262
2014,FDP,7.47800586510264
2014,GLP,12.70718232044199
2014,Grüne,23.789473684210527
2014,Mitte,12.934131736526947
2014,SP,19.981834695731155
2014,SVP,20.875113947128533
2015,FDP,9.14826498422713
2015,GLP,10.495626822157435
2015,Grüne,25.581395348837212
2015,Mitte,10.970464135021098
2015,SP,24.131944444444446
2015,SVP,21.735395189003437
2016,FDP,10.187667560321715
2016,GLP,10.423452768729643
2016,Grüne,20.21857923497268
2016,Mitte,11.179361179361178
2016,SP,23.75339981867634
2016,SVP,23.68
2017,FDP,6.34648370497427
2017,GLP,12.682926829268293
2017,Grüne,25.569620253164555
2017,Mitte,12.481644640234949
2017,SP,21.97452229299363
2017,SVP,27.96248934356351
2018,FDP,8.885542168674698
2018,GLP,17.733990147783253
2018,Grüne,29.23497267759563
2018,Mitte,12.015503875968992
2018,SP,28.71467639015497
2018,SVP,31.35860979462875
2019,FDP,6.666666666666667
2019,GLP,18.77022653721683
2019,Grüne,27.572016460905353
2019,Mitte,11.286407766990292
2019,SP,26.121794871794872
2019,SVP,31.22977346278317
2020,FDP,10.368349249658936
2020,GLP,16.020671834625322
2020,Grüne,31.937984496124034
2020,Mitte,8.832807570977918
2020,SP,26.356589147286826
2020,SVP,27.24014336917563
2021,FDP,8.768971332209107
2021,GLP,16.338028169014084
2021,Grüne,31.781701444622794
2021,Mitte,7.5200000000000005
2021,SP,25.954198473282442
2021,SVP,26.404023470243082
2022,FDP,11.80327868852459
2022,GLP,16.87116564417178
2022,Grüne,28.251121076233183
2022,Mitte,13.893376413570275
2022,SP,26.62857142857143
2022,SVP,28.79858657243816
2023,FDP,8.035714285714286
2023,GLP,15.846994535519126
2023,Grüne,22.758620689655174
2023,Mitte,14.666666666666666
2023,SP,22.58426966292135
2023,SVP,29.846938775510207
2024,FDP,10.87344028520499
2024,GLP,15.467625899280577
2024,Grüne,24.556962025316455
2024,Mitte,10.372771474878444
2024,SP,26.706827309236946
2024,SVP,28.634361233480178
2025,FDP,13.551401869158877
2025,GLP,18.387096774193548
2025,Grüne,31.76312247644684
2025,Mitte,14.831130690161526
2025,SP,35.6203007518797
2025,SVP,30.154071900220103
