CAP_Topic,early_pct,late_pct,delta_pp
Agriculture,16.34050880626223,23.1203007518797,6.779791945617472
Civil Rights,29.577464788732392,39.83471074380166,10.257245955069266
Culture,25.31645569620253,24.714828897338403,-0.6016267988641282
Defense,16.257088846880908,23.53896103896104,7.281872192080133
Domestic Commerce,9.41747572815534,15.691263782866836,6.2737880547114955
Education,12.192118226600986,13.559322033898304,1.3672038072973187
Energy,15.435356200527705,16.206896551724135,0.77154035119643
Environment,20.604914933837428,25.05938242280285,4.454467488965424
Foreign Trade,10.612244897959183,13.870967741935484,3.258722843976301
Government Operations,13.337149398969661,12.778235779060182,-0.5589136199094789
Health,15.434924787442771,22.52036415908002,7.08543937163725
Housing,13.025210084033615,16.57963446475196,3.554424380718343
Immigration,28.785488958990534,35.694822888283376,6.909333929292842
International Affairs,30.053547523427042,31.31367292225201,1.260125398824968
Labor,18.767772511848342,24.97096399535424,6.203191483505897
Law and Crime,19.26829268292683,24.076433121019107,4.808140438092277
Macroeconomics,12.713310580204778,15.1937309534175,2.4804203732127217
Public Lands,15.476190476190476,13.461538461538462,-2.0146520146520146
Social Welfare,21.428571428571427,29.35196950444727,7.923398075875841
Technology,12.145748987854251,16.319444444444446,4.173695456590195
Transportation,17.758784425451093,9.620991253644315,-8.137793171806779
