CAP_Topic,party,early_pct,late_pct,shift_pp
Agriculture,FDP,14.61187214611872,7.38255033557047,-7.22932181054825
Agriculture,Grüne,27.536231884057973,22.99270072992701,-4.543531154130964
Agriculture,Mitte,9.62566844919786,18.181818181818183,8.556149732620323
Agriculture,SP,16.06217616580311,18.702290076335878,2.6401139105327687
Agriculture,SVP,16.842105263157894,32.74021352313167,15.898108259973778
Civil Rights,FDP,21.256038647342994,20.915032679738562,-0.34100596760443125
Civil Rights,Grüne,52.17391304347826,46.55172413793103,-5.622188905547226
Civil Rights,Mitte,19.25925925925926,31.386861313868614,12.127602054609355
Civil Rights,SP,31.386861313868614,43.92857142857143,12.541710114702816
Civil Rights,SVP,29.75206611570248,46.95121951219512,17.199153396492637
Culture,FDP,11.11111111111111,20.0,8.88888888888889
Culture,Grüne,60.0,41.46341463414634,-18.53658536585366
Culture,Mitte,30.23255813953488,12.76595744680851,-17.46660069272637
Culture,SP,20.77922077922078,33.33333333333333,12.55411255411255
Culture,SVP,30.23255813953488,13.20754716981132,-17.02501096972356
Defense,FDP,10.508474576271185,18.65671641791045,8.148241841639264
Defense,Grüne,33.33333333333333,26.666666666666668,-6.666666666666661
Defense,Mitte,9.94475138121547,16.455696202531644,6.5109448213161745
Defense,SP,17.670682730923694,27.915194346289752,10.244511615366058
Defense,SVP,20.16460905349794,24.719101123595504,4.554492070097563
Domestic Commerce,FDP,6.101694915254238,7.352941176470589,1.2512462612163509
Domestic Commerce,Grüne,19.696969696969695,21.641791044776117,1.9448213478064211
Domestic Commerce,Mitte,4.878048780487805,7.8125,2.9344512195121952
Domestic Commerce,SP,8.98876404494382,26.171875,17.18311095505618
Domestic Commerce,SVP,14.285714285714285,17.02898550724638,2.743271221532094
Education,FDP,5.809128630705394,8.928571428571429,3.119442797866035
Education,Grüne,27.659574468085108,12.5,-15.159574468085108
Education,Mitte,12.5,3.3333333333333335,-9.166666666666666
Education,SP,17.063492063492063,19.047619047619047,1.9841269841269842
Education,SVP,9.027777777777777,18.181818181818183,9.154040404040407
Energy,FDP,6.161137440758294,12.0,5.838862559241706
Energy,Grüne,24.731182795698924,11.666666666666666,-13.064516129032258
Energy,Mitte,8.088235294117647,7.051282051282051,-1.0369532428355956
Energy,SP,32.960893854748605,11.229946524064172,-21.730947330684433
Energy,SVP,7.913669064748201,27.173913043478258,19.260243978730056
Environment,FDP,8.620689655172415,11.34020618556701,2.7195165303945963
Environment,Grüne,37.61467889908257,31.435079726651484,-6.179599172431086
Environment,Mitte,9.090909090909092,12.834224598930483,3.743315508021391
Environment,SP,24.18300653594771,31.976744186046513,7.793737650098802
Environment,SVP,16.666666666666664,26.70299727520436,10.036330608537696
Foreign Trade,FDP,7.894736842105263,5.357142857142857,-2.537593984962406
Foreign Trade,Grüne,13.333333333333334,17.5,4.166666666666666
Foreign Trade,Mitte,7.6923076923076925,10.714285714285714,3.021978021978021
Foreign Trade,SP,15.517241379310345,18.333333333333332,2.816091954022987
Foreign Trade,SVP,10.526315789473683,17.91044776119403,7.384131971720345
Government Operations,FDP,7.509157509157509,5.128205128205128,-2.3809523809523814
Government Operations,Grüne,35.0,23.18840579710145,-11.81159420289855
Government Operations,Mitte,11.072664359861593,8.695652173913043,-2.3770121859485496
Government Operations,SP,17.130620985010705,12.781954887218044,-4.348666097792661
Government Operations,SVP,13.043478260869565,16.714697406340058,3.671219145470493
Health,FDP,9.523809523809524,10.071942446043165,0.5481329222336413
Health,Grüne,37.704918032786885,38.28382838283829,0.5789103500514017
Health,Mitte,11.38211382113821,9.411764705882353,-1.970349115255857
Health,SP,19.679633867276888,26.62473794549266,6.945104078215774
Health,SVP,12.448132780082988,24.682395644283122,12.234262864200135
Housing,FDP,5.333333333333334,7.03125,1.697916666666666
Housing,Grüne,36.0,22.0,-14.0
Housing,Mitte,2.2988505747126435,5.217391304347826,2.9185407296351826
Housing,SP,26.47058823529412,31.132075471698112,4.6614872364039925
Housing,SVP,8.974358974358974,14.473684210526317,5.499325236167342
Immigration,FDP,8.304498269896193,7.100591715976331,-1.203906553919862
Immigration,Grüne,50.72463768115942,43.258426966292134,-7.466210714867287
Immigration,Mitte,12.790697674418606,12.162162162162163,-0.6285355122564429
Immigration,SP,40.67796610169492,41.732283464566926,1.0543173628720055
Immigration,SVP,28.455284552845526,46.214511041009466,17.75922648816394
International Affairs,FDP,21.763085399449036,17.857142857142858,-3.905942542306178
International Affairs,Grüne,48.66666666666667,38.961038961038966,-9.705627705627705
International Affairs,Mitte,14.883720930232558,15.865384615384615,0.981663685152057
International Affairs,SP,34.42265795206972,35.791757049891544,1.3690990978218238
International Affairs,SVP,34.85342019543974,36.16161616161616,1.3081959661764202
Labor,FDP,8.786610878661087,11.888111888111888,3.1015010094508018
Labor,Grüne,43.47826086956522,47.66355140186916,4.185290532303938
Labor,Mitte,7.476635514018691,11.11111111111111,3.63447559709242
Labor,SP,30.47091412742382,39.38223938223938,8.911325254815562
Labor,SVP,12.209302325581394,15.66265060240964,3.4533482768282457
Law and Crime,FDP,10.632183908045976,12.093023255813954,1.460839347767978
Law and Crime,Grüne,34.437086092715234,19.379844961240313,-15.057241131474921
Law and Crime,Mitte,11.827956989247312,12.217194570135746,0.38923758088843385
Law and Crime,SP,23.306233062330623,24.65277777777778,1.3465447154471555
Law and Crime,SVP,22.727272727272727,39.61456102783726,16.887288300564535
Macroeconomics,FDP,6.924315619967794,5.291005291005291,-1.6333103289625033
Macroeconomics,Grüne,42.405063291139236,17.708333333333336,-24.6967299578059
Macroeconomics,Mitte,3.414634146341464,7.567567567567568,4.152933421226105
Macroeconomics,SP,18.167202572347264,25.995807127882596,7.828604555535332
Macroeconomics,SVP,11.44465290806754,18.360655737704917,6.916002829637376
Public Lands,FDP,12.5,10.0,-2.5
Public Lands,Grüne,9.523809523809524,6.666666666666667,-2.8571428571428568
Public Lands,Mitte,9.523809523809524,5.88235294117647,-3.6414565826330536
Public Lands,SP,21.62162162162162,16.666666666666664,-4.954954954954957
Public Lands,SVP,18.367346938775512,18.51851851851852,0.1511715797430071
Social Welfare,FDP,10.119047619047619,9.70873786407767,-0.4103097549699495
Social Welfare,Grüne,54.385964912280706,53.65853658536586,-0.7274283269148469
Social Welfare,Mitte,23.157894736842106,11.475409836065573,-11.682484900776533
Social Welfare,SP,23.28767123287671,39.53488372093023,16.24721248805352
Social Welfare,SVP,15.573770491803279,26.744186046511626,11.170415554708347
Technology,FDP,9.375,11.827956989247312,2.452956989247312
Technology,Grüne,41.66666666666667,18.75,-22.91666666666667
Technology,Mitte,16.883116883116884,6.122448979591836,-10.760667903525047
Technology,SP,6.8493150684931505,19.047619047619047,12.198303979125896
Technology,SVP,13.793103448275861,25.233644859813083,11.440541411537222
Transportation,FDP,8.727272727272728,2.197802197802198,-6.52947052947053
Transportation,Grüne,33.92857142857143,9.900990099009901,-24.027581329561528
Transportation,Mitte,10.857142857142858,10.0,-0.8571428571428577
Transportation,SP,22.040816326530614,8.152173913043478,-13.888642413487135
Transportation,SVP,21.138211382113823,17.937219730941703,-3.200991651172121
Agriculture,GLP,,16.94915254237288,
Civil Rights,GLP,,27.500000000000004,
Culture,GLP,,26.923076923076923,
Defense,GLP,,18.867924528301888,
Domestic Commerce,GLP,,10.256410256410255,
Education,GLP,,19.047619047619047,
Energy,GLP,,14.893617021276595,
Environment,GLP,,19.607843137254903,
Foreign Trade,GLP,,12.903225806451612,
Government Operations,GLP,,6.024096385542169,
Health,GLP,,22.463768115942027,
