year,share_emotion_pct,index_2000_100
1999,20.45929018789144,124.40050759343404
2000,16.446307642695903,100.0
2001,20.11400651465798,122.30104745481256
2002,16.751381215469614,101.85496695915937
2003,15.765472312703583,95.86025419939965
2004,15.882712278558339,96.57311916825375
2005,15.158870255957634,92.17187581122475
2006,14.250994255413168,86.65163369811027
2007,17.489986648865152,106.34597764339382
2008,17.327526931010773,105.3581588491459
2009,18.480492813141684,112.36864355598503
2010,18.048377093239612,109.74121052183538
2011,16.16294349540079,98.27703486125068
2012,16.16138591292455,98.26756414897851
2013,17.818097231914397,108.3410186591501
2014,16.849736379613354,102.4530049278059
2015,18.40518204154568,111.9107245310454
2016,18.120366332315744,110.1789333264924
2017,19.70344307614979,119.80466074341274
2018,23.043478260869566,140.1133844842285
2019,21.48269506450952,130.6232105785177
2020,21.46470200131955,130.5138056982195
2021,21.086855550394798,128.2163511015182
2022,22.713306546915625,138.10581098428503
2023,20.603907637655418,125.27983840072443
2024,22.111207645525628,134.4448135466176
2025,26.462627524463876,160.9031528497304
