year,n_speeches,anger,enthusiasm,fear,hope,pride,total_share_emotional,is_bundesrat
2011,2,0.0,0.0,0.0,0.0,0.0,0.0,False
2012,27,3.7037037037037033,0.0,0.0,0.0,0.0,7.4074074074074066,False
2013,22,9.090909090909092,0.0,0.0,0.0,0.0,9.090909090909092,False
2014,37,2.702702702702702,0.0,0.0,0.0,0.0,2.702702702702702,False
2015,28,3.571428571428571,0.0,0.0,0.0,0.0,7.142857142857142,False
2016,46,10.869565217391305,2.1739130434782608,0.0,0.0,0.0,13.043478260869565,False
2017,16,25.0,12.5,0.0,0.0,0.0,37.5,False
2018,37,24.324324324324326,8.108108108108109,0.0,0.0,0.0,32.432432432432435,False
2019,23,43.47826086956522,8.695652173913043,0.0,0.0,0.0,52.17391304347826,False
2020,36,11.11111111111111,0.0,2.7777777777777777,0.0,0.0,13.88888888888889,False
2021,49,6.122448979591836,6.122448979591836,2.0408163265306123,0.0,0.0,14.285714285714285,False
2022,31,19.35483870967742,3.225806451612903,0.0,0.0,3.225806451612903,25.806451612903224,False
2023,463,0.0,0.6479481641468683,0.4319654427645789,0.0,0.0,1.2958963282937366,True
2024,449,0.2227171492204899,0.2227171492204899,0.2227171492204899,0.0,0.0,0.8908685968819599,True
2025,390,0.2564102564102564,1.282051282051282,1.282051282051282,0.0,0.0,2.8205128205128207,True
