year,party,enthusiasm,anger,hope,fear
1999,Center,21.037193251533743,9.043054338299736,3.4791301489921125,1.9892090271691498
1999,FDP,27.86490156143924,12.382120594951552,4.719650681972475,1.3813799913596247
1999,Greens,34.99115826702034,38.19628647214854,8.591217211906867,1.9230769230769231
1999,SP,32.89832015347901,24.3418651443545,5.28683730288709,1.684759721117402
1999,SVP,18.16212691973341,20.759200231816862,2.237757171834251,2.341350333236743
2000,Center,23.314412987361294,8.860297527073149,3.3626391753340363,1.9471030871639339
2000,FDP,28.345093418147524,12.132029201452738,4.4827786025873335,1.6173250384708808
2000,Greens,33.994105511346895,39.864190981432365,7.3274781412712455,2.348717948717949
2000,SP,33.54212055639571,23.73565003431683,4.659749120397379,1.4327706706314156
2000,SVP,20.799957711808368,23.357067864236015,2.4044847899147066,2.212790704556786
2001,Center,25.169942582376866,8.069799084705545,3.6722186145863724,1.925685641681068
2001,FDP,28.167885963213212,12.349094446015691,3.5060544407119347,1.9393815337629399
2001,Greens,33.007460105726004,39.93727582629317,6.287680121206133,3.6011264265599525
2001,SP,33.367456637251365,23.18549139761124,3.769421053148499,1.4153883865432146
2001,SVP,22.965679950599498,24.54108217977434,2.2121197436874476,1.7475357090303916
2002,Center,25.408568814860192,8.895882738430691,3.0989714346200916,1.8713768206360026
2002,FDP,27.417251005100535,11.396265647935673,3.1355450341592537,1.7954979587614444
2002,Greens,33.50649512089006,39.91246193051153,5.943961712971595,3.716924606874262
2002,SP,29.54869219876862,22.73806610511552,3.509043975870013,1.5049628704838955
2002,SVP,23.432167839552623,26.211162172457737,2.0518512940342784,1.7294619572352647
2003,Center,23.79845679689991,9.725724147304394,2.6025902093036213,1.9636798466870704
2003,FDP,24.622259325262576,11.364371037179867,2.596171727822149,1.5972001071981754
2003,Greens,35.34856360446798,37.18262265727603,5.7415857521050695,3.209307555860985
2003,SP,27.673843611605374,23.733098810288265,3.1953769842817312,1.7498939979110315
2003,SVP,19.709991710596835,23.360227796099633,1.644255123726244,1.8048442021090352
2004,Center,21.513878967603535,9.953130427742623,2.3398453953742826,1.7563074558219605
2004,FDP,22.38505236578247,10.82216246747359,2.4680637848654428,1.7902951270576313
2004,Greens,35.261778783053614,37.34464753028356,4.228424714508929,2.7144748355947392
2004,SP,29.135479759243736,25.60083603257876,3.0626499350006697,1.4491708656775144
2004,SVP,17.30183446963582,22.98025340639079,2.00606823086801,1.8148184938046015
2005,Center,22.12768173786226,9.791533477984666,2.1084739818304215,1.6342316596212452
2005,FDP,21.430726067881892,9.896099529720802,2.3842826096925838,1.4503921389044212
2005,Greens,36.806255811401606,35.53379709040087,3.7323347829351263,2.3014738580776317
